entity_id,qualified_name,entity_kind,declaring_type,package_name,return_or_field_type,semantic_role,architectural_role,domain_relevance,variability_relevance,classification_confidence,name_evidence,declaring_type_evidence,type_signature_evidence,package_evidence,usage_context_evidence,dependency_context_evidence,positive_evidence,negative_evidence,previous_role,role_changed,change_reason
E1,Missile$$TankWar,CLASS,,,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,name=missile|tank|war,,,,incoming=3;outgoing=1;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=explodieren|game|image|missile|object,name tokens=missile|tank|war,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E2,Missile$$TankWar.geschwindigkeit,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=geschwindigkeit,declaring=missile|tank|war,,package=missile|tank|war,incoming=5;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|init|koordinate|missile|tank|war,name tokens=geschwindigkeit,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E3,Missile$$TankWar.xf_Koordinate,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=koordinate|xf,declaring=missile|tank|war,,package=missile|tank|war,incoming=5;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|init|koordinate|missile|tank|war,name tokens=koordinate|xf,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E4,Missile$$TankWar.yf_Koordinate,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=koordinate|yf,declaring=missile|tank|war,,package=missile|tank|war,incoming=5;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|init|koordinate|missile|tank|war,name tokens=koordinate|yf,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E5,Missile$$TankWar.currTime,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=curr|time,declaring=missile|tank|war,,package=missile|tank|war,incoming=3;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=init|malen|missile|tank|war,name tokens=curr|time,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E6,Missile$$TankWar.tankId,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=id|tank,declaring=missile|tank|war,,package=missile|tank|war,incoming=3;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|init|missile|tank|treffen|war,name tokens=id|tank,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E7,Missile$$TankWar.missileRichtung,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=missile|richtung,declaring=missile|tank|war,,package=missile|tank|war,incoming=4;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|init|koordinate|missile|tank|war,name tokens=missile|richtung,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E8,Missile$$TankWar.vernichtungskraft,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=vernichtungskraft,declaring=missile|tank|war,,package=missile|tank|war,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|init|missile|tank|treffen|war,name tokens=vernichtungskraft,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E9,Missile$$TankWar.feindlich,FIELD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=feindlich,declaring=missile|tank|war,,package=missile|tank|war,incoming=4;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|init|missile|tank|treffen|war,name tokens=feindlich,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E10,Missile$$TankWar.Missile$$TankWar,CONSTRUCTOR,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=missile|tank|war,declaring=missile|tank|war,,package=missile|tank|war,incoming=0;outgoing=3;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=feindlich|id|missile|richtung|tank|war,name tokens=missile|tank|war,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E11,Missile$$TankWar.init,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=init,declaring=missile|tank|war,,package=missile|tank|war,incoming=0;outgoing=36;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=b|color|curr|feindlich|g|game|geschwindigkeit|height|id|koernigkeit2|koordinate|manager|missile|obj|object|r|richtung|tank|time|type|vernichtungskraft|war|width|x|xf|y|yf,name tokens=init,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E12,Missile$$TankWar.malen,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=malen,declaring=missile|tank|war,,package=missile|tank|war,incoming=0;outgoing=5;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|color|curr|fill|koordinate|maler|missile|ovall|pc|set|tank|time|war,name tokens=malen,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E13,Missile$$TankWar.koordinateAktualisieren,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=aktualisieren|koordinate,declaring=missile|tank|war,,package=missile|tank|war,incoming=1;outgoing=25;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|game|geschwindigkeit|get|height|koordinate|malen|manager|menge|missile|missiles|object|richtung|rund|screen|tank|treffen|war|width|xf|yf,name tokens=aktualisieren|koordinate,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E14,Missile$$TankWar.treffenErkennen,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=erkennen|treffen,declaring=missile|tank|war,,package=missile|tank|war,incoming=1;outgoing=16;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=aktualisieren|brickwall|explodieren|feindlich|id|koordinate|manager|menge|metalwall|missile|missiles|remove|tank|vernichtungskraft|war,name tokens=erkennen|treffen,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
